agency,uploaded_on,description,value,uploaded_dt,dt_scrape
USAID,2/11/2025,"A GLOBAL DEVELOPMENT ALLIANCE ACTIVITY WORKING WITH A SET OF STAKEHOLDERS—INCLUDING OTHER DONOR ORGANIZATIONS, PRIVATE SECTOR, AND NON-GOVERNMENTAL ORGANIZATIONS—TO ELECTRIFY AND PROVIDE TELECOMMUNICATIONS AT HEALTH FACILITIES IN SUB-SAHARAN AFRICA UNDER AN ACTIVITY REFERRED TO AS HEALTH ELECTRIFICATION AND TELECOMMUNICATIONS ALLIANCE. THE OUTCOMES OF THE HETA ACTIVITY WILL INCLUDE SIGNIFICANT, MEASURABLE IMPROVEMENTS IN THE HEALTH AND WELL-BEING OF COMMUNITIES IN SUB- SAHARAN AFRICA BY DRAWING ON PRIVATE SECTOR CAPACITY AND RESOURCES AND ALIGNING THEM WITH POWER AFRICA AND USAID INVESTMENTS IN AFRICA TO PROVIDE RURAL AND SEMI-RURAL HEALTH FACILITIES WITH CLEAN, RELIABLE ELECTRICITY GENERATION AND INTERNET CONNECTIVITY. IN SOME CASES, THE ELECTRICITY PROVISION COULD ALSO INCLUDE WATER PUMPING AND POTABLE WATER TO THE FACILITIES. THE HETA STAKEHOLDERS WILL WORK TOGETHER WITH USAID TO ADDRESS CHALLENGES THROUGH A MARKET-BASED APPROACH, LEVERAGING THEIR COLLECTIVE TECHNICAL AND FINANCIAL RESOURCES. HETA WILL BE STRUCTURED TO ENSURE LONGEVITY AND SUSTAINABILITY BEYOND THE LIFE OF USAID INVESTMENTS THROUGH THE CREATION OF AN INDEPENDENT SPINOFF. THE ACTIVITY’S MARKET APPROACH TO PROVIDING ELECTRICITY AND TELECOMMUNICATION SERVICES COMES THROUGH EXPANDING MOBILE NETWORKS AND ECONOMIC GROWTH OPPORTUNITIES TO COMMUNITIES WHILE SUPPORTING THE ELECTRIFICATION AND TELECOMMUNICATION OF HEALTH FACILITIES THROUGH AN ENERGY-AS-A-SERVICE MODEL. THE ACTIVITY SEEKS TO ACCELERATE ACCESS TO AFFORDABLE, RELIABLE, AND SUSTAINABLE ENERGY SERVICES BY ELECTRIFYING AND DIGITALLY CONNECTING 10,000 FACILITIES OVER 5 YEARS. TO IMPROVE ACCESS TO POWER AT HEALTH FACILITIES AND ENHANCE THE DELIVERY OF HEALTH SERVICES IN SUB-SAHARAN AFRICA, HETA WILL USE THESE GUIDING PRINCIPLES IN ITS IMPLEMENTATION OF PROGRAM COMPONENTS: 1. STRENGTHEN USAID HEALTH PROGRAM OUTCOMES 2. INCREASE ELECTRICAL CONNECTIONS AND TELECOMMUNICATION CONNECTIVITY AT HEALTH FACILITIES 3. GUARANTEE LONG-TERM OPERATION AND MAINTENANCE OF INSTALLED EQUIPMENT 4. PROMOTE MARKET-BASED SOLUTIONS 5. IMPROVE LOCAL TECHNICAL CAPACITY",47000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,POLITICAL PARTIES FOR RESILIENT AND INCLUSIVE DEMOCRACIES IN SOUTHERN AFRICA,10000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE CODE ACTIVITY IS TO FOSTER GREATER TRANSPARENCY, INTEGRITY AND CREDIBILITY OF THE ELECTORAL PROCESS AND ELECTIONS IN GUINEA, IN ORDER TO PROMOTE PEACEFUL ACCEPTANCE OF THE ELECTORAL RESULTS AND DEMOCRATIC STABILITY IN THE COUNTRY, WHILE STRENGTHENING LOCAL CAPACITIES. THE GOAL WILL BE REACHED THROUGH: (A) SUPPORTING DATA DRIVEN DOMESTIC LONG AND SHORT-TERM ELECTORAL OBSERVATION EFFORTS THAT RESPECT INTERNATIONAL STANDARDS AND INCREASE TRUST IN ELECTORAL OUTCOMES; WHILE (B) BUILDING THE CAPACITY OF LOCAL CIVIL SOCIETY ORGANIZATIONS TO MONITOR POLITICAL PROCESSES AND CONDUCT ELECTION OBSERVATION IN THE FUTURE IN GUINEA.",4600000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE GOAL OF THREE “NIETTI” ELECTIONS IS TO IDENTIFY, REINFORCE AND CREATE OPPORTUNITIES TO STRENGTHEN THE ACCOUNTABILITY, TRANSPARENCY, AND INTEGRITY OF SENEGAL’S ELECTORAL PROCESS. THIS PROGRAM DESCRIPTION REFLECTS USAID’S COMMITMENT TO LOCAL OWNERSHIP AND SELF-RELIANCE BY INCORPORATING DIRECT INPUT FROM THE NATIONAL POLITICAL DIALOGUE, THE DIRECTION GÉNÉRALE DES ELECTIONS WITHIN THE MINISTRY OF INTERIOR, CIVIL SOCIETY, AND OTHER DONORS. IT BUILDS ON PAST USAID ELECTORAL ASSISTANCE FOR THE 2019 PRESIDENTIAL ELECTIONS, THE 2019 DRG ASSESSMENT, AND USAID’S RECENT AUDIT OF THE VOTER REGISTRY. THIS ACTIVITY WILL SUPPORT THE MISSION’S DEVELOPMENT OBJECTIVE (DO) 3 IN THE CURRENT COUNTRY DEVELOPMENT COOPERATION STRATEGY (CDCS): INCREASED GOS EFFECTIVENESS AND ACCOUNTABILITY. UNDER DO 3, USAID AIMS TO SUPPORT THE GOVERNMENT OF SENEGAL (GOS) SO IT IS MORE EFFECTIVE AND ACCOUNTABLE, AND STRENGTHEN CIVIL SOCIETY SO THAT THE SENEGALESE PEOPLE CAN MORE EFFECTIVELY ARTICULATE THEIR NEEDS AND ADVOCATE FOR THEMSELVES. THE DEVELOPMENT HYPOTHESIS IS THAT IF THE GOS IMPROVES THE POLITICAL, ECONOMIC, AND JUDICIAL GOVERNANCE ENVIRONMENT, IF CIVIL SOCIETY AND MEDIA INFLUENCE INCREASES, AND IF LOCAL GOVERNANCE AND COMMUNITY ENGAGEMENT IS MORE INCLUSIVE, THEN THE COUNTRY’S POLITICAL AND SOCIAL STABILITY WILL BE STRENGTHENED, RESULTING IN THE MORE EFFICIENT MANAGEMENT OF PUBLIC RESOURCES TOWARD IMPROVED SERVICE DELIVERY, AND A CITIZEN-CENTRIC APPROACH TO GOVERNANCE.",10851354.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE MAJORITY OF THE COMMISSIONERS OF THE INDEPENDENT NATIONAL ELECTORAL COMMISSION (CENI) WERE NEWLY APPOINTED IN 2021 AND HAVE LITTLE ELECTORAL EXPERIENCE. THE COMMISSIONERS AND THE CENI STAFF WILL ENCOUNTER UNPRECEDENTED CHALLENGES IN THE TRANSITION, INCLUDING ORGANIZING ELECTIONS IN LARGE SWATHES OF THE COUNTRY THAT ARE INSECURE; CARRYING OUT NEW LEGISLATION TO ENSURE THE PARTICIPATION OF INTERNALLY DISPLACED PERSONS (IDPS), A POPULATION THAT HAS SURGED TO 1.7 MILLION IN JUST FIVE YEARS; AND AN AMBITIOUS TRANSITION AGENDA AND TIMELINE, WHICH IN TURN CREATE CHALLENGES FOR CITIZEN AND CIVIL SOCIETY ENGAGEMENT. ADDITIONALLY, THERE HAS BEEN A DRASTIC INCREASE IN DISINFORMATION CIRCULATING IN THE COUNTRY, MUCH OF IT ORIGINATING FROM FOREIGN INFLUENCE CAMPAIGNS AIMED AT INFLUENCING PUBLIC OPINION IN THE SAHEL. DISINFORMATION HAS BEEN LINKED TO MASSIVE PROTESTS AND RELATED VIOLENCE. BROAD CIVIC PARTICIPATION BY AN INFORMED POPULACE WILL BE CRITICAL FOR THE CREDIBILITY OF THE TRANSITION TO CIVILIAN RULE. LIKEWISE, CIVIL SOCIETY AND POLITICAL PARTIES WILL NEED TO BE ACTIVE IN CONSENSUS-BUILDING AROUND CONSTITUTIONAL AND LEGAL REFORM EFFORTS. ADDITIONALLY, AN ANTICIPATED SIGNIFICANT TURNOVER OF ELECTED REPRESENTATIVES WILL NEED SUPPORT TO DEMONSTRATE THE BENEFITS OF DEMOCRACY IN THE EARLY STAGES OF THE NEW CIVILIAN GOVERNMENT. 2. OBJECTIVES AND ANTICIPATED RESULTS THERE ARE THREE OBJECTIVES OF THE BESA ACTIVITY: OBJECTIVE 1: CIVIL SOCIETY SUPPORTS INCREASED CITIZEN PARTICIPATION IN REFORM, ELECTORAL, AND GOVERNANCE PROCESSES. ANTICIPATED RESULTS: • CITIZENS RECEIVE TIMELY, ACCURATE INFORMATION ABOUT TRANSITION-RELATED REFORM AND POLITICAL PROCESSES, ENABLING THEM TO UNDERSTAND THEIR CHOICES AND PARTICIPATE MEANINGFULLY • INCREASED PARTICIPATION OF CITIZENS, PARTICULARLY WOMEN, YOUTH, AND INTERNALLY DISPLACED PERSONS, IN REFORM AND POLITICAL PROCESSES RELATED TO THE TRANSITION TO DEMOCRATIC GOVERNANCE • INCREASED CAPACITY OF A RANGE OF CIVIL SOCIETY ACTORS, DEFINED BROADLY AND INCLUDING COMMUNITY-BASED ORGANIZATIONS, WOMEN’S AND YOUTH GROUPS, FAITH-BASED ORGANIZATIONS AND RELIGIOUS LEADERS, TRADITIONAL LEADERS, POLITICAL PARTIES, AND INDEPENDENT MEDIA, AMONG OTHERS, TO SUPPORT THEIR CONSTITUENCIES TO MEANINGFULLY PARTICIPATE IN TRANSITION AND GOVERNANCE PROCESSES • INCREASED CAPACITY OF CIVIL SOCIETY ORGANIZATIONS TO PROVIDE OVERSIGHT OF TRANSITION AND GOVERNANCE PROCESSES OBJECTIVE 2: ELECTORAL MANAGEMENT BODIES CONDUCT TECHNICALLY SOUND AND INCLUSIVE ELECTORAL PROCESSES. ANTICIPATED RESULTS: • IMPROVED TECHNICAL CAPACITY OF THE CENI AND OTHER RELEVANT GOVERNMENT INSTITUTIONS SUCH AS THE MINISTRY OF TERRITORIAL ADMINISTRATION AND DECENTRALIZATION (MATDS) TO CONDUCT INCLUSIVE, CONSENSUAL AND TRANSPARENT POLITICAL PROCESSES. • IMPROVED CAPACITY OF THE CENI TO WORK WITH RELEVANT GOVERNMENT INSTITUTIONS TO PROVIDE ADEQUATE SECURITY FOR CITIZENS TO SAFELY EXERCISE THEIR RIGHT TO VOTE. • INCREASED CAPACITY OF THE CENI TO CONTRIBUTE TO GOVERNANCE REFORM PROCESSES, INCLUDING CONSTITUTIONAL REVIEW. • CENI OPERATES WITH INCREASED INDEPENDENCE AND PROFESSIONALISM. • INCREASED CAPACITY OF THE CENI IN THE AREAS OF COMMUNICATION WITH CITIZENS AND STAKEHOLDERS, INCLUDING COUNTERING MIS-, DIS-, AND MAL INFORMATION, AND COORDINATION WITH CIVIL SOCIETY, POLITICAL PARTIES, AND OTHER STAKEHOLDERS. OBJECTIVE 3: POST-TRANSITION GOVERNANCE IS EFFECTIVE, PARTICIPATORY, AND INCLUSIVE. ANTICIPATED RESULTS: • NEWLY ELECTED OFFICIALS AT THE NATIONAL, REGIONAL, AND COMMUNAL LEVELS ARE WELL-ORIENTED TO THEIR ROLES AND RESPONSIBILIT",7000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"EMPOWERING MALIANS THROUGH ELECTION, REFORM, AND GOVERNANCE EFFORTS PROGRAM (EMERGE)",20469999.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,MALI ELECTORAL TRANSFORMATION PROGRAM (MET),5000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,No description currently available,26056000.0,2025-02-11,2025-03-24-2040
USAID,1/30/2025,No description currently available,400000.0,2025-01-30,2025-03-24-2040
USAID,2/11/2025,No description currently available,19477181.0,2025-02-11,2025-03-24-2040
USAID,2/12/2025,"THE PURPOSE OF THIS ACTIVITY IS TO INCREASE SOCIO-ECONOMIC COHESION AMONG MARGINALIZED COMMUNITIES OF KOSOVO ROMA, ASHKALI, AND EGYPTIAN–THROUGH THE FACILITATION OF SUSTAINABLE RECYCLING MODELS LED BY THE PRIVATE SECTOR AND IN COOPERATION WITH COMMUNITIES AND LOCAL GOVERNMENTS.",2000000.0,2025-02-12,2025-03-24-2040
USAID,2/12/2025,"¿POLITICAL PROCESS STRENGTHENING ACTIVITY¿ IN SERBIA WILL BE A 2 (TWO) YEAR ACTIVITY WITH THE TOTAL ESTIMATED AMOUNT OF $3,500,000 AND THE MAIN GOAL IS TO STRENGTHEN POLITICAL ACTORS AND PARLIAMENTARY OVERSIGHT, AS WELL AS TO SUPPORT LONGSTANDING EFFORTS TO IMPROVE THE TRANSPARENCY OF THE ELECTORAL PROCESS, IN ORDER TO ADVANCE DEMOCRATIC REPRESENTATION AND ACCOUNTABILITY IN SERBIA.",15550000.0,2025-02-12,2025-03-24-2040
USAID,2/12/2025,STRONG AND INCLUSIVE MALDIVIAN DEMOCRACY (SIMD)ACTIVITY,19000000.0,2025-02-12,2025-03-24-2040
USAID,2/12/2025,THE GOAL OF THIS ACTIVITY IS “IMPROVED DEMOCRATIC ELECTIONS AND POLITICAL PROCESSES IN SRI LANKA.”,9500000.0,2025-02-12,2025-03-24-2040
USAID,2/12/2025,USAID/BURMA ADVANCING DEMOCRACY ASSOCIATE COOPERATIVE AGREEMENT,17600000.0,2025-02-12,2025-03-24-2040
USAID,2/12/2025,PROMOTING ACCOUNTABLE AND INCLUSIVE POLITICS (PAIP),19600000.0,2025-02-12,2025-03-24-2040
USAID,2/10/2025,"THE GOAL OF THE GLOBAL LABOR PROGRAM – NEW FRONTIERS IN ADVANCING LABOR RIGHTS ACTIVITY IS TO ADVANCE FREEDOM OF ASSOCIATION AND DECENT WORK FOR ALL WORKING PEOPLE, IN PARTICULAR MARGINALIZED WORKERS. THE RECIPIENT EXPECTS TO ACHIEVE THIS THROUGH CHANGES SUCH AS BUILDING COLLECTIVE AGENCY AND STRENGTHENING THE RESILIENCY OF WORKERS AND THEIR ORGANIZATIONS. THE PROGRAM WILL TAKE A STRATEGIC, RESEARCH-BASED, INTEGRATED APPROACH TO SUPPORTING THE EFFORTS OF WORKERS, THEIR ORGANIZATIONS, AND CIVIL SOCIETY ORGANIZATION ALLIES TO PROTECT AND STRENGTHEN WORKER RIGHTS AT THE WORKSITE, MUNICIPAL/COMMUNITY, PROVINCIAL, NATIONAL, SECTOR, AND INTERNATIONAL LEVELS, WITH UNPRECEDENTED EFFORTS TO SECURE THE RIGHTS OF ALL WORKERS, ESPECIALLY MARGINALIZED WORKERS, AND AMPLIFY CIVIL SOCIETY SUPPORT AND ENGAGEMENT TO SUPPORT THOSE RIGHTS.",62500000.0,2025-02-10,2025-03-24-2040
USAID,2/6/2025,"TO ADDRESS CHALLENGES TO THE CAPACITY, RESILIENCY, AND EFFICACY OF THE EURASIAN LEGAL SECTOR AND CIVIL SOCIETY.",7500000.0,2025-02-06,2025-03-24-2040
USAID,2/6/2025,"TO SUPPORT UTILITIES, REGULATORY AGENCIES, AND ENERGY SECTOR STAKEHOLDERS IN THE EUROPE AND EURASIA REGION IN PROGRESSING THROUGH THE CLEAN ENERGY TRANSITION WHILE ALSO MAINTAINING RELIABLE, AFFORDABLE AND SECURE ENERGY SUPPLIES.",49964668.0,2025-02-06,2025-03-24-2040
USAID,2/6/2025,INTERACTIVE MOBILE SUPPORT FOR COMMUNITY HEALTH WORKERS PROMOTING BREASTFEEDING,199251.0,2025-02-06,2025-03-24-2040
USAID,2/6/2025,MODUS CAPITAL: NEW FAA AWARD UNDER THE DIGITAL INVEST DCCP GDA ADDENDUM.,500000.0,2025-02-06,2025-03-24-2040
USAID,2/10/2025,"(TP20211121) NEW 18 MONTH AWARD TO WHO - ""IMPROVED MENTAL HEALTH AND PSYCHOSOCIAL SUPPORT PREPAREDNESS - REDUCING THE RISKS OF NATURAL EMERGENCIES THROUGH STRENGTHENING MENTAL HEALTH AND PSYCHOSOCIAL SUPPORT PREPAREDNESS""",4377394.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,TO SUPPORT WHO'S HEALTH EMERGENCY PROGRAMMEE IN STRENGTHENING ITS CAPACITY OF HUMANITARIAN RESPONSE,45000000.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,TO SUPPORT TRAUMA INITIATIVE,2499995.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,DISASTER RISK REDUCTION POLICY AND PRACTICE ACTIVITIES IN THE PACIFIC,899858.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,"THIS 12-MONTH FOLLOW-ON AWARD WILL FUND HEALTH, NUTRITION, AND HUMANITARIAN COORDINATION SERVICES THROUGHOUT SYRIA. ADDING PROTECTION SECTOR ACTIVITIES.",18735000.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,TREATMENT OF SEVERE ACUTE MALNOURISHED CHILDREN WITH COMPLICATIONS IN NUTRITION STABILIZATION CENTERS IN PAKISTAN,700000.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,SUPPORT TO HUMANITARIAN HEALTH INTERVENTIONS IN CONFLICT-AFFECTED AREAS OF UKRAINE,5000000.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,"ENHANCING ACCESS TO HEALTHCARE THROUGH ACCOUNTABILITY TO AFFECTED POPULATIONS, PREVENTION OF SEXUAL EXPLOITATION AND ABUSE, AND PROVISION OF MEDICINE",8250000.0,2025-02-10,2025-03-24-2040
USAID,2/10/2025,NEW HCIMA AND HEALTH AWARD FOR NIGERIA,2500000.0,2025-02-10,2025-03-24-2040
USAID,2/12/0205,"TUNISIA RESILIENCE AND COMMUNITY EMPOWERMENT (TRACE)SEEKS TO SUPPORT COMMUNITIES TO REDUCE COMMUNITIES¿ RISK OF INSTABILITY AND INCREASE RESILIENCE TO VIOLENT EXTREMISM. THROUGH A RIGOROUS COMMUNITY-BASED DEVELOPMENT APPROACH, THE PROGRAM WILL STRENGTHEN THE VOICES OF UNDERREPRESENTED GROUPS (INCLUDING WOMEN AND YOUTH IN RURAL AND PERI-URBAN AREAS) AND ACTIVELY ENGAGE COMMUNITY MEMBERS AS PARTICIPANTS AND LEADERS IN THE FULL CYCLE OF DESIGN, MANAGEMENT, AND EVALUATION OF DEVELOPMENT ACTIVITIES.",59552142.0,,2025-03-24-2040
USAID,2/11/2025,No description currently available,20100000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,IMPROVE EDUCATION SYSTEMS AND EXPERTISE TO ACHIEVE THE GOVERNMENT OF COLOMBIA'S GOAL OF PROVIDING SUSTAINABLE AND INCLUSIVE QUALITY EDUCATION TO ALL SCHOOL-AGED CHILDREN RESIDING IN COLOMBIA.,35000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE PURPOSE OF THIS ACTION IS TO TRANSFER FUNDS TO THE RECIPIENT ORGANIZATION TO IMPLEMENT THE ENHANCING WASH ACTIVITY. THE ENHANCING WASH ACTIVITY AIMS TO FACILITATE ACCESS TO AND USE OF SUSTAINABLE WATER, SANITATION, AND HYGIENE SERVICES AND PRODUCTS IN TARGET DISTRICTS OF NORTHERN GHANA.",53264317.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"USAID GEORGIA RULE OF LAW PROGRAM WILL BUILD AND INNOVATE UPON PAST USAID INVESTMENTS IN THE RULE OF LAW SECTOR AND WILL FOCUS ON PROMOTING A CITIZEN-ORIENTED JUSTICE SYSTEM, WITH EMPHASIS ON JUDICIAL SECTOR ACTORS.",24999825.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,USAID/WBG SMALL AND MEDIUM ENTERPRISE ASSISTANCE FOR RECOVERY AND TRANSITION (SMART) ACTIVITY,40000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,TECHNICAL AND VOCATIONAL EDUCATION AND TRAINING ACTIVITY,30000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE PURPOSE OF ACCESSIBLE AND QUALITY BASIC EDUCATION IN AFGHANISTAN (AQBE) IS TO SUPPORT THE IMPROVEMENT OF SAFE, EQUITABLE ACCESS TO QUALITY LEARNING FOR PRIMARY SCHOOL AGED GIRLS AND BOYS AND SECONDARY SCHOOL AGED GIRLS.",79249987.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,THE PURPOSE OF THIS COOPERATIVE AGREEMENT TO IMPLEMENT THE AFGHANISTAN INTEGRATED YOUTH ACTIVITY (AIYA) IN AFGHANISTAN.,62000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE SBC ACTIVITY SEEKS TO TRANSFORM HOUSEHOLDS, COMMUNITIES AND SYSTEMS FOR IMPROVED HEALTH AND DEVELOPMENT OUTCOMES THROUGH SOCIAL AND BEHAVIOR CHANGE. IT WILL CONTRIBUTE TO THE ACHIEVEMENT OF HEALTH AND DEVELOPMENT OUTCOMES THROUGH IMPROVED ADOPTION OF HEALTH BEHAVIORS (E.G. INCREASED, CONSISTENT, AND CORRECT USE OF MOSQUITO NETS; INCREASED ADHERENCE TO ARVS) AT INDIVIDUAL, HOUSEHOLD, AND COMMUNITY LEVELS. THIS ACTIVITY WILL WORK WITH THE GOU, IMPLEMENTING PARTNERS AND STAKEHOLDERS TO IMPLEMENT AND SCALE UP QUALITY SBC INTERVENTIONS THAT DIRECTLY AFFECT THE INTERNAL, STRUCTURAL AND SOCIAL FACTORS IN ORDER TO INCREASE ADOPTION OF IMPROVED HEALTH BEHAVIORS AND ULTIMATELY IMPACT HEALTH AND DEVELOPMENT OUTCOMES. THE ACTIVITY WILL ACCOMPLISH RESULTS THROUGH FOUR INTERMEDIATE RESULTS:",42217035.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE GOAL OF THE ACTIVITY IS TO IMPROVE THE ENABLING ENVIRONMENT, ACCESS TO FACT-BASED INDEPENDENT SOURCES OF INFORMATION, AND SUSTAINABILITY, RESILIENCE AND COLLABORATION OF CIVIL SOCIETY AND MEDIA, TO ENSURE THAT ALL CITIZENS, ESPECIALLY YOUTH AND WOMEN, ARE INCLUDED, ENGAGED, AND EMPOWERED TO EQUITABLY LEAD THE DEVELOPMENT OF THEIR COMMUNITIES AND CONTRIBUTE TO PUBLIC DISCOURSE.",49500000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE PURPOSE OF THIS AGREEMENT IS TO IMPLEMENT ACTIVITIES TO SUPPORT A PROGRAM THAT BUILDS THE CAPACITY OF VULNERABLE YOUTH AND EMPOWERS THEM TO LEAD HEALTHY, ENGAGED, AND PRODUCTIVE LIVES IN THEIR COMMUNITIES, IN SOUTH SUDAN.",43568610.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,IGF::CL::IGF USAID/RENFORCEMENT DE LA LITTÉRATIE AU SENEGAL (RELIS). TO IMPROVE STUDENTS’ READING OUTCOMES IN KINDERGARTEN (KG) THROUGH SECOND GRADES IN NINE REGIONS OF SENEGAL.,54992940.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE PURPOSE OF USAID/MADAGASCAR¿S ACCESSIBLE CONTINUUM OF CARE AND ESSENTIAL SERVICES SUSTAINED (ACCESS) ACTIVITY IS TO INCREASE THE CAPACITY OF THE MALAGASY HEALTH SYSTEM TO DELIVER QUALITY ESSENTIAL HEALTH SERVICES TO RURAL AND URBAN POPULATIONS. THE ACTIVITY WILL STRENGTHEN THE SERVICE DELIVERY CONTINUUM THROUGH COMMUNITY HEALTH VOLUNTEERS (CHVS), PRIMARY HEALTH FACILITIES OR CENTRE DE SANTÉ DE BASE (CSBS), AND DISTRICT HOSPITALS BY IMPROVING CLINICAL AND NON-CLINICAL SKILLS OF HEALTH PROVIDERS AND STRENGTHEN HEALTH SYSTEMS AT THE DISTRICT LEVEL AND BELOW. THE ACTIVITY WILL ALSO ENGAGE WITH REGIONAL HEALTH AUTHORITIES TO ENSURE COORDINATION AND EFFECTIVE MANAGEMENT OF HEALTH ACTIVITIES IN THEIR DISTRICTS.",128500000.0,2025-02-11,2025-03-24-2040
USAID,2/6/2025,"THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO PROVIDE SUPPORT FOR THE PROGRAM DESCRIBED IN ATTACHMENT B TO THIS COOPERATIVE AGREEMENT ENTITLED ""PROGRAM DESCRIPTION."" THIS AWARD WILL CONTRIBUTE TO THE GLOBAL OPEN MAPPING ECOSYSTEM. SPECIFICALLY, THE AWARD WILL INCREASE ACCESS TO GEOSPATIAL DATA RELEVANT TO USAID AND ITS PARTNER COUNTRIES BY BUILDING THE CAPACITY OF YOUTH TO CREATE AND WORK WITH THIS DATA. PROGRAM ACTIVITIES WILL SUBSTANTIVELY ENGAGE LOCAL PARTNERS FOCUSED ON POSITIVE YOUTH DEVELOPMENT (PYD) TO CREATE AND ANALYZE OPEN GEOSPATIAL DATA.",1800000.0,2025-02-06,2025-03-24-2040
USAID,2/11/2025,IMPROVED LEARNING OUTCOMES IN PRIMARY EDUCATION (SABER) ACTIVITY,62900000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE ACTIVITY WILL SUPPORT THE RE-ESTABLISHMENT OF COMPREHENSIVE SUPPORT SERVICES FOR WOMEN AND GIRLS AND CONTRIBUTE TO AN ENABLING ENVIRONMENT FOR WOMEN'S RIGHTS AND WOMEN'S PARTICIPATION. THE ACTIVITY'S THREE BROAD OBJECTIVES ARE TO: 1) PROVIDE ACCESS TO ESSENTIAL SERVICES THAT PREVENT AND RESPOND TO VAWG ACCORDING TO INTERNATIONAL NORMS AND STANDARDS; 2) SUPPORT WOMEN-LED CIVIL SOCIETY ORGANIZATIONS AND NETWORKS TO ADVANCE WOMEN'S RIGHTS IN AFGHANISTAN; 3) SUPPORT THE LIVELIHOODS OF VULNERABLE WOMEN THROUGH TRAINING, ENTREPRENEURSHIP SUPPORT, AND JOB PLACEMENTS.",30000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"THE PURPOSE OF WLH IS TO PARTNER WITH GOC, CONFLICT-AFFECTED COMMUNITIES, AND CONFLICT SURVIVORS- INCLUDING YOUTH SUFFERING FROM TRANSGENERATIONAL TRAUMA- TO ADVANCE PSYCHOSOCIAL SUPPORT MECHANISMS’ INCLUSION IN COMMUNITY-BASED INTERVENTIONS. BY SUPPORTING PSYCHOSOCIAL MECHANISMS THROUGH WLH, USAID WILL IMPROVE CITIZEN ACCESS TO MHPSS IN CONFLICT-AFFECTED COMMUNITIES. WLH’S WORK TO IMPROVE MENTAL HEALTH SERVICE ACCESS IS EXPECTED TO MITIGATE THE RISKS ASSOCIATED WITH PSYCHOSOCIAL TRAUMA, LIKE ANXIETY AND DEPRESSION, AND WILL ALLOW CONFLICT SURVIVORS TO LEAD PRODUCTIVE LIVES AND GENERATE PEACEFUL COEXISTENCE. SUPPORT TO CIVIL SOCIETY ORGANIZATIONS (CSOS) IN AREAS LIKE LEADERSHIP, ADMINISTRATIVE SKILLS AND FINANCIAL MANAGEMENT WILL HELP DEVELOP LOCAL CAPACITY TO PROMOTE TRANSFORMATIVE CHANGE AND PEACEFUL COEXISTENCE.",38000000.0,2025-02-11,2025-03-24-2040
USAID,2/11/2025,"NATIONAL AND SUBNATIONAL SYSTEMS WILL HAVE THE CAPACITY TO DELIVER ALL ESSENTIAL PUBLIC HEALTH FUNCTIONS (EPHFS) FOR THE DELIVERY OF ROUTINE SERVICES AND THE ABILITY TO READILY MOBILIZE (SURGE) HEALTH WORKERS IN THE EVENT OF AN EMERGENCY OR DISEASE OUTBREAK, AND TO ENSURE THAT MENTAL HEALTH IS RECOGNIZED AS A FUNDAMENTAL COMPONENT OF HOLISTIC HEALTH AND WELLNESS.",1323093.0,2025-02-11,2025-03-24-2040
USAID,2/12/2025,"THE QUALITY INSTRUCTION TOWARDS ACCESS AND BASIC EDUCATION IMPROVEMENT (QITABI) 2 ACTIVITY SEEKS TO IMPROVE LEARNING OUTCOMES (ACADEMIC, SOCIAL AND EMOTIONAL OUTCOMES) FOR ALL STUDENTS IN PUBLIC PRIMARY SCHOOLS. THE ACTIVITY TARGETS AN ESTIMATED 200,000 GIRLS AND BOYS, INCLUDING THOSE WHO ARE REGISTERED IN SECOND SHIFTS OF PUBLIC SCHOOLS.",93599994.0,2025-02-12,2025-03-24-2040
